Date,Taluk,Population,Density,Disease,Cases,Recoveries,Deaths,R0,Temperature,Humidity,Rainfall,Hospital Capacity,ICU Beds,Ventilators,Daily Tests,Vaccination Rate,Avg Income,Below Poverty Line,Air Quality Index,Waterborne Cases,Income,Poverty Rate,Latitude,Longitude,Mobility Index
2025-01-04,Thoothukudi,967680,2990.06,COVID-19,354,345,4,1.89,36.9,64.51,86.11,980,40,38,1956,0.4,381378,18122,110,38,381378,1.87,9.24687,80.10258,0.39
2025-01-04,Thoothukudi,50967,1309.3,Dengue,163,156,3,1.25,35.99,57.41,102.27,624,77,7,756,0.56,476522,29575,111,46,476522,58.03,10.21436,79.82104,0.66
2025-01-04,Thoothukudi,504332,750.73,Cholera,378,376,2,1.87,32.15,52.58,12.12,262,69,30,1474,0.3,496247,13571,179,17,496247,2.69,12.43578,79.93607,0.67
2025-01-04,Thoothukudi,906106,1313.61,Typhoid,231,225,3,1.89,26.27,61.25,85.06,452,53,8,206,0.65,175131,29082,122,14,175131,3.21,12.86276,77.16524,0.65
2025-01-04,Thoothukudi,872000,1328.62,Influenza,223,219,1,2.49,32.0,72.35,88.12,634,66,10,1763,0.34,356586,31614,77,1,356586,3.63,9.80383,76.35594,0.87
2025-01-04,Thoothukudi,244903,1081.72,Malaria,155,152,2,1.26,39.57,67.71,95.09,451,39,34,1659,0.7,424744,12857,190,5,424744,5.25,10.07951,76.79936,0.97
2025-01-04,Thoothukudi,461555,1202.03,Hepatitis A,67,63,0,1.14,25.86,76.33,166.26,568,52,10,667,0.6,291757,1623,155,9,291757,0.35,8.10442,78.17989,0.24
2025-01-04,Thoothukudi,65163,2217.54,H1N1,313,303,4,2.13,35.66,63.13,113.91,828,81,29,1012,0.55,109609,10220,166,27,109609,15.68,13.15552,76.74597,0.87
2025-01-04,Thoothukudi,330690,2228.89,Tuberculosis,101,95,1,0.95,37.86,62.43,174.25,661,7,45,406,0.36,253350,3460,98,6,253350,1.05,12.19486,78.65262,0.35
2025-01-05,Thoothukudi,329844,578.39,COVID-19,109,102,0,0.83,31.44,45.69,138.42,242,49,7,1032,0.76,246456,18086,161,4,246456,5.48,10.65979,79.33497,0.67
2025-01-05,Thoothukudi,498521,2538.97,Dengue,387,378,6,1.38,38.32,62.18,176.12,356,37,42,1613,0.48,313208,39629,95,17,313208,7.95,12.26538,76.92666,0.58
2025-01-05,Thoothukudi,556767,879.56,Cholera,146,143,2,1.23,36.37,57.23,152.45,755,66,29,235,0.77,122461,48252,192,17,122461,8.67,12.6822,78.8497,0.97
2025-01-05,Thoothukudi,440157,668.88,Typhoid,198,186,3,1.32,26.29,41.46,186.28,966,37,43,239,0.79,348605,26467,151,14,348605,6.01,8.14712,77.80533,0.58
2025-01-05,Thoothukudi,100929,1678.47,Influenza,258,251,4,2.17,26.84,43.56,121.72,268,78,45,808,0.66,275926,45866,108,13,275926,45.44,9.68285,77.12515,0.92
2025-01-05,Thoothukudi,334684,1500.39,Malaria,72,69,0,0.98,28.08,41.39,176.2,153,29,28,1035,0.55,477665,34218,197,16,477665,10.22,12.4163,78.42796,0.43
2025-01-05,Thoothukudi,748275,2232.21,Hepatitis A,165,155,2,1.69,28.7,63.26,6.29,82,36,25,1491,0.72,103114,12926,176,34,103114,1.73,10.54326,80.06416,0.97
2025-01-05,Thoothukudi,269469,1429.87,H1N1,232,224,1,1.23,34.9,55.85,130.12,524,72,30,751,0.43,218350,18519,197,7,218350,6.87,11.2388,77.73981,0.51
2025-01-05,Thoothukudi,475710,2566.71,Tuberculosis,245,238,1,1.97,35.6,54.43,70.0,853,5,12,1978,0.46,83919,15669,58,17,83919,3.29,8.65292,78.14444,0.6
2025-01-06,Thoothukudi,75332,843.2,COVID-19,199,192,3,1.82,39.88,71.88,157.82,593,28,36,412,0.77,490594,26871,155,40,490594,35.67,12.1089,78.41987,0.78
2025-01-06,Thoothukudi,187599,987.53,Dengue,277,268,1,1.69,39.56,61.57,118.27,847,22,6,757,0.65,208298,6237,150,8,208298,3.32,13.11589,77.24926,0.56
2025-01-06,Thoothukudi,325990,845.17,Cholera,123,119,0,1.02,29.84,65.75,180.27,129,29,21,1142,0.74,240650,41439,52,9,240650,12.71,11.56767,77.28385,0.86
2025-01-06,Thoothukudi,62788,1198.42,Typhoid,254,251,3,1.8,34.83,56.72,164.71,458,51,41,1340,0.56,435069,10481,55,15,435069,16.69,9.72987,77.10618,0.37
2025-01-06,Thoothukudi,473179,2444.52,Influenza,89,84,1,1.5,27.67,73.55,33.03,470,23,17,482,0.86,379751,47951,107,31,379751,10.13,11.33734,76.24487,0.65
2025-01-06,Thoothukudi,254020,910.13,Malaria,96,95,1,1.11,39.72,52.21,166.28,933,91,37,1700,0.83,453242,19367,88,24,453242,7.62,12.44089,78.8044,0.45
2025-01-06,Thoothukudi,595870,1127.01,Hepatitis A,132,130,0,1.92,35.51,62.98,41.95,962,22,23,124,0.31,263476,30318,105,44,263476,5.09,10.81206,79.30225,0.9
2025-01-06,Thoothukudi,304979,2767.36,H1N1,236,224,4,1.6,29.24,53.71,177.88,68,43,22,1332,0.32,491489,10471,171,43,491489,3.43,10.5168,80.23657,0.26
2025-01-06,Thoothukudi,120614,1057.92,Tuberculosis,234,232,1,1.44,29.69,79.34,73.56,747,23,24,1750,0.54,492222,30898,60,28,492222,25.62,8.02127,80.23861,0.85
2025-01-07,Thoothukudi,265032,745.3,COVID-19,201,193,1,1.35,34.85,41.22,130.0,733,92,11,325,0.85,185542,48212,73,27,185542,18.19,13.15845,79.62481,0.31
2025-01-07,Thoothukudi,958505,2539.78,Dengue,346,340,3,2.19,38.68,70.83,135.82,989,91,6,487,0.81,450976,26844,175,41,450976,2.8,11.30882,78.16123,0.99
2025-01-07,Thoothukudi,130597,1162.33,Cholera,223,215,1,1.19,26.38,80.73,175.85,908,84,10,827,0.6,151473,12893,69,43,151473,9.87,8.91096,80.16015,0.65
2025-01-07,Thoothukudi,133290,725.41,Typhoid,395,387,6,2.45,26.91,47.76,132.66,285,75,34,1161,0.37,427306,43936,53,23,427306,32.96,10.34989,77.90398,0.98
2025-01-07,Thoothukudi,267892,1751.62,Influenza,133,125,2,0.9,32.59,58.94,92.57,133,75,44,860,0.43,399638,21922,51,21,399638,8.18,11.25103,78.67473,0.76
2025-01-07,Thoothukudi,475291,604.02,Malaria,206,200,3,1.78,39.53,50.1,14.95,340,98,26,1968,0.48,369680,7767,197,24,369680,1.63,13.18952,79.06292,0.28
2025-01-07,Thoothukudi,329852,2005.29,Hepatitis A,166,163,1,2.13,35.66,88.54,133.84,343,57,26,1853,0.57,301386,6843,193,32,301386,2.07,11.17097,77.93731,0.81
2025-01-07,Thoothukudi,420634,1336.96,H1N1,225,219,3,2.07,25.24,69.41,12.92,834,42,18,1295,0.59,382326,47914,87,18,382326,11.39,12.81107,78.87715,0.7
2025-01-07,Thoothukudi,582508,2085.02,Tuberculosis,108,102,1,0.83,32.4,65.26,1.08,821,17,17,473,0.75,412891,13571,104,43,412891,2.33,13.24681,79.72773,0.54
2025-01-08,Thoothukudi,182539,1678.29,COVID-19,457,446,8,2.06,33.28,63.93,119.53,639,49,13,676,0.3,378812,21431,91,36,378812,11.74,9.19889,76.81948,0.72
2025-01-08,Thoothukudi,87904,1521.52,Dengue,324,314,3,1.35,27.19,62.95,73.28,721,67,29,481,0.34,98708,47367,186,11,98708,53.88,10.8121,78.41825,0.93
2025-01-08,Thoothukudi,89469,646.53,Cholera,264,251,4,1.96,26.34,67.89,30.83,848,75,45,1300,0.8,236568,14185,52,19,236568,15.85,11.0268,80.11735,0.4
2025-01-08,Thoothukudi,722180,1184.34,Typhoid,273,270,2,2.42,33.34,69.23,188.38,422,24,40,970,0.37,85395,4484,191,49,85395,0.62,10.5614,78.49331,0.29
2025-01-08,Thoothukudi,254816,1638.89,Influenza,80,74,1,0.85,39.47,86.93,102.06,830,7,11,587,0.66,321638,19849,84,25,321638,7.79,11.35037,78.24218,0.72
2025-01-08,Thoothukudi,229943,2084.68,Malaria,103,101,1,1.52,26.73,74.32,16.06,300,95,18,1337,0.67,88772,47603,162,22,88772,20.7,10.8572,80.40577,0.85
2025-01-08,Thoothukudi,847420,2705.16,Hepatitis A,144,140,2,2.43,35.18,66.11,160.13,416,36,13,924,0.71,136564,28727,154,34,136564,3.39,9.21984,76.92985,0.43
2025-01-08,Thoothukudi,488990,1270.51,H1N1,354,349,3,2.18,33.13,55.39,181.21,927,80,47,1919,0.65,81653,1785,74,20,81653,0.37,8.6205,76.07988,0.25
2025-01-08,Thoothukudi,823209,2857.13,Tuberculosis,209,203,1,2.28,27.69,89.46,161.17,763,62,14,1140,0.68,433604,21631,121,29,433604,2.63,9.64224,80.49995,0.53
2025-01-09,Thoothukudi,953375,1286.19,COVID-19,278,272,2,2.03,26.27,69.62,155.51,603,69,22,1669,0.91,472169,7534,186,7,472169,0.79,12.05599,80.14752,0.86
2025-01-09,Thoothukudi,497739,2993.4,Dengue,229,217,4,1.17,35.28,76.61,195.22,641,93,40,1394,0.92,153720,11390,88,39,153720,2.29,8.94146,76.97109,0.87
2025-01-09,Thoothukudi,282887,1234.08,Cholera,224,216,2,2.43,36.65,54.8,196.02,673,26,26,1146,0.62,95913,5529,128,11,95913,1.95,10.35823,78.90354,0.25
2025-01-09,Thoothukudi,747962,1165.87,Typhoid,220,208,3,2.34,28.46,84.32,127.53,869,56,13,808,0.69,415127,13110,150,49,415127,1.75,11.03975,77.56901,0.48
2025-01-09,Thoothukudi,243018,2888.57,Influenza,210,204,3,1.02,37.21,42.9,58.59,874,63,48,1585,0.4,410932,18670,199,6,410932,7.68,9.61632,76.40686,0.62
2025-01-09,Thoothukudi,301537,2715.37,Malaria,76,71,1,1.39,26.71,52.18,40.12,764,59,34,990,0.79,275389,10378,78,25,275389,3.44,8.39426,80.14388,0.86
2025-01-09,Thoothukudi,890877,811.6,Hepatitis A,74,70,1,1.41,35.08,45.08,10.82,82,12,29,439,0.82,345273,28152,149,0,345273,3.16,13.0218,78.24626,0.61
2025-01-09,Thoothukudi,620593,2172.14,H1N1,92,91,0,1.12,34.03,60.55,150.47,795,99,46,974,0.74,350479,24066,149,13,350479,3.88,8.35177,79.36992,0.24
2025-01-09,Thoothukudi,468967,1237.95,Tuberculosis,44,41,0,1.0,31.57,81.5,59.7,743,29,31,1445,0.9,157626,34027,58,44,157626,7.26,12.30907,77.18892,0.86
2025-01-10,Thoothukudi,860332,2616.41,COVID-19,212,204,1,1.08,38.93,63.48,54.86,192,98,42,608,0.72,86030,23573,62,10,86030,2.74,12.50989,76.87953,0.5
2025-01-10,Thoothukudi,101024,2800.47,Dengue,73,71,0,0.98,38.02,89.61,91.86,233,92,17,1912,0.89,423653,43279,192,5,423653,42.84,10.01588,78.9958,0.44
2025-01-10,Thoothukudi,442951,2116.7,Cholera,274,270,2,1.66,37.62,50.05,146.96,367,65,13,449,0.51,328444,45058,136,27,328444,10.17,13.09145,79.38551,0.9
2025-01-10,Thoothukudi,768417,1687.71,Typhoid,237,227,4,1.55,37.55,83.34,155.51,76,28,18,131,0.43,192448,44751,152,19,192448,5.82,9.38579,78.55427,0.75
2025-01-10,Thoothukudi,490970,1879.75,Influenza,216,210,4,1.99,35.9,59.3,124.24,477,39,9,707,0.35,134016,32605,126,45,134016,6.64,11.68909,77.25265,0.26
2025-01-10,Thoothukudi,225591,2482.51,Malaria,174,168,1,1.96,37.59,45.54,25.35,679,94,13,1513,0.3,478667,17051,84,42,478667,7.56,10.48622,78.24797,0.39
2025-01-10,Thoothukudi,797527,2314.69,Hepatitis A,86,76,1,1.56,30.33,66.38,168.9,455,38,19,1261,0.82,356571,26555,141,43,356571,3.33,11.25095,78.31521,0.46
2025-01-10,Thoothukudi,888646,2848.23,H1N1,224,223,1,1.49,27.17,80.76,199.14,71,9,30,1100,0.34,172218,41573,94,4,172218,4.68,12.7484,76.0346,0.3
2025-01-10,Thoothukudi,530308,1366.64,Tuberculosis,198,194,1,2.17,33.86,56.52,104.64,866,56,17,1851,0.56,348012,41283,102,43,348012,7.78,13.24215,79.00393,0.46
2025-01-11,Thoothukudi,423210,1106.61,COVID-19,312,302,5,1.95,31.06,41.74,74.14,426,91,34,1464,0.8,271047,20819,82,21,271047,4.92,8.97331,77.3381,0.97
2025-01-11,Thoothukudi,740460,2405.23,Dengue,233,225,3,1.98,29.55,50.5,35.54,546,36,10,1168,0.61,102734,8899,135,31,102734,1.2,11.62364,80.27936,0.21
2025-01-11,Thoothukudi,774567,1111.48,Cholera,230,219,3,0.98,35.94,47.61,28.7,562,7,19,1178,0.59,285108,47995,85,15,285108,6.2,9.73828,79.30302,0.98
2025-01-11,Thoothukudi,676701,1985.68,Typhoid,212,206,2,0.89,26.69,75.42,159.7,451,18,7,1731,0.35,102331,46466,133,21,102331,6.87,11.60164,80.43026,0.83
2025-01-11,Thoothukudi,564095,1432.1,Influenza,196,190,3,1.87,36.06,65.9,156.63,233,18,47,1474,0.89,275717,10691,90,42,275717,1.9,12.53621,78.14972,0.5
2025-01-11,Thoothukudi,405593,1681.24,Malaria,236,234,1,2.28,33.68,64.38,143.16,117,10,35,746,0.37,156960,43902,133,19,156960,10.82,10.134,76.48335,0.92
2025-01-11,Thoothukudi,186827,1155.23,Hepatitis A,120,112,2,1.05,25.08,42.31,104.33,602,68,49,1821,0.41,491740,8196,188,47,491740,4.39,11.27617,76.88695,0.55
2025-01-11,Thoothukudi,313933,1797.03,H1N1,215,211,3,1.19,29.77,83.57,90.45,123,68,16,1449,0.74,129560,40362,108,9,129560,12.86,12.59079,76.20716,0.62
2025-01-11,Thoothukudi,941316,2663.08,Tuberculosis,172,165,1,1.56,30.8,46.08,22.68,177,52,28,1681,0.93,324795,49514,80,4,324795,5.26,12.63707,78.43704,0.98
2025-01-12,Thoothukudi,802335,722.08,COVID-19,398,384,6,1.66,31.56,86.06,173.55,857,87,14,269,0.31,370290,23614,71,23,370290,2.94,11.88534,79.51349,0.54
2025-01-12,Thoothukudi,180946,960.06,Dengue,277,270,1,2.11,36.63,58.21,122.19,562,72,46,1349,0.4,457030,35538,127,13,457030,19.64,12.73316,79.94814,0.27
2025-01-12,Thoothukudi,633680,2619.63,Cholera,200,189,2,0.86,29.04,44.8,186.08,393,20,16,1081,0.8,229836,14609,137,21,229836,2.31,8.25935,76.98576,0.58
2025-01-12,Thoothukudi,196101,1931.49,Typhoid,168,160,3,1.55,34.64,43.92,17.47,843,28,27,1464,0.74,222558,2991,55,48,222558,1.53,9.70963,79.43503,0.33
2025-01-12,Thoothukudi,57604,2769.18,Influenza,117,115,1,1.19,38.96,72.4,159.5,320,90,47,1983,0.53,221624,30612,181,14,221624,53.14,9.0079,79.24567,0.32
2025-01-12,Thoothukudi,167590,1858.85,Malaria,84,80,0,1.06,31.43,44.7,74.8,627,29,40,361,0.55,429119,49642,97,35,429119,29.62,12.56232,79.33712,0.38
2025-01-12,Thoothukudi,582617,1450.65,Hepatitis A,92,83,0,1.37,28.56,44.09,114.44,66,16,27,1921,0.86,174938,47799,149,21,174938,8.2,9.94644,79.82736,0.44
2025-01-12,Thoothukudi,125208,2267.42,H1N1,166,163,3,1.45,30.95,48.55,194.0,141,58,5,1183,0.67,92370,5902,74,6,92370,4.71,10.39241,77.10233,0.55
2025-01-12,Thoothukudi,713428,1762.32,Tuberculosis,250,238,4,2.45,29.45,62.01,137.75,950,37,32,1327,0.76,471814,14075,199,41,471814,1.97,10.80885,77.74664,0.97
2025-01-13,Thoothukudi,739643,2560.67,COVID-19,170,162,1,1.31,25.63,41.66,135.86,277,89,18,356,0.7,137584,5403,77,39,137584,0.73,9.38139,76.30885,0.46
2025-01-13,Thoothukudi,541976,2003.96,Dengue,154,151,2,2.01,35.99,75.09,58.29,133,6,10,248,0.79,293774,25696,87,48,293774,4.74,11.91657,77.40406,0.46
2025-01-13,Thoothukudi,113163,566.64,Cholera,216,207,3,1.63,28.16,73.42,147.6,948,16,48,1992,0.85,155796,1833,85,11,155796,1.62,8.60529,80.00438,0.25
2025-01-13,Thoothukudi,675248,1907.45,Typhoid,29,27,0,0.8,35.9,47.44,76.29,897,65,14,1861,0.7,488768,36434,55,48,488768,5.4,11.73545,79.94971,0.24
2025-01-13,Thoothukudi,504798,1972.75,Influenza,243,233,1,2.13,35.15,41.35,121.51,618,71,44,918,0.72,435621,14870,57,32,435621,2.95,8.38162,78.31589,0.53
2025-01-13,Thoothukudi,950778,1235.65,Malaria,242,234,4,2.44,33.91,83.41,161.92,998,27,40,1310,0.48,294440,6887,70,44,294440,0.72,9.92596,78.95227,0.27
2025-01-13,Thoothukudi,203270,1503.98,Hepatitis A,146,140,1,2.3,35.74,85.92,91.48,941,53,14,1915,0.53,82719,21057,150,11,82719,10.36,13.38898,79.6703,0.68
2025-01-13,Thoothukudi,441135,2260.45,H1N1,285,283,1,1.85,33.47,44.61,2.71,122,91,13,1966,0.43,196458,16391,81,3,196458,3.72,11.82658,77.2168,0.84
2025-01-13,Thoothukudi,117294,1234.68,Tuberculosis,111,107,0,1.16,38.62,48.94,113.21,431,10,37,1316,0.66,395549,34431,118,3,395549,29.35,12.41868,79.56587,0.96
2025-01-14,Thoothukudi,773065,1561.72,COVID-19,306,294,4,1.4,25.99,48.15,159.98,624,35,45,1721,0.75,87408,39100,120,13,87408,5.06,9.8435,80.25463,0.61
2025-01-14,Thoothukudi,458069,2142.53,Dengue,306,303,1,1.88,27.04,66.06,30.47,955,37,34,1668,0.65,196244,34261,121,33,196244,7.48,11.0723,79.2406,0.26
2025-01-14,Thoothukudi,521825,2487.29,Cholera,225,218,3,1.28,26.39,56.63,26.79,868,68,32,280,0.83,137934,42700,153,11,137934,8.18,9.44442,76.61223,0.64
2025-01-14,Thoothukudi,242022,2878.81,Typhoid,115,114,1,1.06,28.66,68.07,139.27,233,33,18,172,0.83,123515,15990,150,48,123515,6.61,9.51935,76.46292,0.21
2025-01-14,Thoothukudi,670501,1579.32,Influenza,152,146,0,1.12,25.3,63.28,156.94,258,26,37,588,0.31,177542,10555,197,6,177542,1.57,9.29552,78.87585,0.52
2025-01-14,Thoothukudi,319080,2220.78,Malaria,115,110,0,1.6,38.45,53.04,83.67,743,75,16,1183,0.83,128109,23452,186,37,128109,7.35,12.35439,79.12235,0.28
2025-01-14,Thoothukudi,114294,2586.96,Hepatitis A,137,134,1,2.33,32.36,64.08,32.68,350,71,22,1312,0.57,477272,5640,147,4,477272,4.93,11.83683,77.55926,0.28
2025-01-14,Thoothukudi,267107,995.88,H1N1,0,0,0,0.97,34.03,89.54,82.18,894,80,9,1240,0.74,491271,33689,84,37,491271,12.61,12.9495,78.77262,0.22
2025-01-14,Thoothukudi,390839,2161.73,Tuberculosis,134,127,2,1.19,25.58,76.14,66.03,820,63,12,1781,0.58,471048,11497,193,3,471048,2.94,11.85616,77.89786,0.58
2025-01-15,Thoothukudi,203545,1086.76,COVID-19,233,227,1,1.68,29.54,58.29,42.12,551,90,6,834,0.84,90216,45771,97,19,90216,22.49,11.61027,76.08544,0.29
2025-01-15,Thoothukudi,997665,890.73,Dengue,178,176,2,1.48,33.4,59.7,93.4,337,19,7,303,0.88,265483,24069,120,5,265483,2.41,10.70554,79.53455,0.49
2025-01-15,Thoothukudi,578209,1691.7,Cholera,110,105,0,1.14,35.72,79.11,70.08,133,67,9,411,0.67,221472,4357,149,20,221472,0.75,8.48127,76.42969,0.65
2025-01-15,Thoothukudi,436161,1388.39,Typhoid,278,267,4,2.09,28.31,84.52,112.77,327,51,32,1050,0.58,201239,41231,84,5,201239,9.45,13.0181,80.39717,0.98
2025-01-15,Thoothukudi,794838,2979.39,Influenza,88,84,0,0.81,26.44,49.4,112.66,940,73,9,1539,0.46,269043,24904,167,48,269043,3.13,10.93532,79.96551,0.23
2025-01-15,Thoothukudi,903686,2543.23,Malaria,150,140,2,1.43,32.11,73.66,188.49,212,44,18,1506,0.51,300092,36707,136,44,300092,4.06,8.59243,80.29944,0.41
2025-01-15,Thoothukudi,805616,1554.58,Hepatitis A,113,107,0,0.98,32.46,43.95,73.41,960,30,7,159,0.46,149802,46820,67,46,149802,5.81,13.04462,77.47349,0.89
2025-01-15,Thoothukudi,676340,1254.27,H1N1,253,247,2,1.53,35.12,50.26,48.45,228,76,21,959,0.6,247929,12646,67,0,247929,1.87,10.36075,80.04444,0.99
2025-01-15,Thoothukudi,440003,1397.29,Tuberculosis,273,260,5,2.46,28.04,54.35,184.24,294,58,33,1378,0.51,299024,32212,177,8,299024,7.32,9.55791,79.65588,0.54
2025-01-16,Thoothukudi,161374,2125.41,COVID-19,257,246,4,1.01,32.55,86.08,91.43,144,32,19,1956,0.71,398126,40390,174,16,398126,25.03,12.25673,76.88158,0.91
2025-01-16,Thoothukudi,104192,2146.25,Dengue,251,239,3,0.93,38.08,75.22,119.35,245,47,49,255,0.32,179452,28451,120,38,179452,27.31,9.79027,76.24451,0.2
2025-01-16,Thoothukudi,198556,1359.35,Cholera,241,230,2,1.2,34.39,61.94,19.12,772,43,27,1326,0.4,476806,40740,102,13,476806,20.52,13.22489,77.50924,0.64
2025-01-16,Thoothukudi,254465,2690.65,Typhoid,113,108,1,1.36,29.66,71.06,67.49,377,46,39,1777,0.35,107702,28726,121,0,107702,11.29,12.43707,77.75747,0.33
2025-01-16,Thoothukudi,77464,2989.04,Influenza,105,101,2,1.19,28.74,81.11,105.87,975,91,41,174,0.77,461345,17315,164,16,461345,22.35,10.66804,80.04004,0.98
2025-01-16,Thoothukudi,360311,2356.89,Malaria,153,149,2,2.27,29.31,86.07,114.65,62,85,44,1324,0.77,419683,16984,191,4,419683,4.71,10.48294,78.34642,0.6
2025-01-16,Thoothukudi,716855,1914.65,Hepatitis A,139,139,0,1.07,35.76,84.42,44.18,475,72,14,1985,0.34,189522,5777,160,24,189522,0.81,11.41857,76.83532,0.82
2025-01-16,Thoothukudi,473079,1550.68,H1N1,193,184,2,0.93,27.87,50.72,24.91,674,88,29,1353,0.65,257916,47202,86,10,257916,9.98,9.59078,76.86629,0.28
2025-01-16,Thoothukudi,198938,1925.98,Tuberculosis,194,184,3,1.79,33.76,59.26,15.14,846,50,30,986,0.35,221562,35482,121,0,221562,17.84,10.44362,77.33941,0.95
2025-01-17,Thoothukudi,486206,2063.21,COVID-19,278,276,2,0.85,30.93,69.54,199.57,600,13,31,243,0.56,204227,43086,148,22,204227,8.86,12.43648,79.56277,0.9
